Area Code,Area Name,year,obesity_prevalence,physical_inactivity,smoking_prevalence,diet_5_a_day_pct
E09000031,Waltham Forest,2021,21.59116,25.04329,8.3,30.47012
E09000032,Wandsworth,2021,14.36877,15.7861,12.3,38.11423
E09000033,Westminster,2021,16.33908,20.86678,11.1,32.92122
E10000003,Cambridgeshire,2021,24.9619,19.27375,12.3,36.33849
E10000007,Derbyshire,2021,30.30402,20.62779,13.1,33.45398
E10000008,Devon,2021,24.17702,16.82298,10.7,42.29728
E10000011,East Sussex,2021,24.61769,18.47893,14.3,37.1779
E10000012,Essex,2021,27.47003,21.56267,11.5,34.70898
E10000013,Gloucestershire,2021,25.72158,18.78921,12.2,37.69382
E10000014,Hampshire,2021,25.88826,17.73108,10.0,36.71042
E10000015,Hertfordshire,2021,22.38658,18.57313,10.6,34.31605
E10000016,Kent,2021,27.32926,20.63105,12.5,34.94717
E10000017,Lancashire,2021,26.70979,22.54211,13.6,31.00487
E10000018,Leicestershire,2021,25.6041,21.35864,10.4,33.19243
E10000019,Lincolnshire,2021,31.36239,23.74188,12.4,35.92363
E10000020,Norfolk,2021,26.59843,21.6466,14.6,36.97884
E10000024,Nottinghamshire,2021,26.62509,21.02362,12.4,33.19806
E10000025,Oxfordshire,2021,21.19018,16.65849,9.4,39.65142
E10000028,Staffordshire,2021,29.01239,21.68081,9.2,29.94957
E10000029,Suffolk,2021,27.57576,20.19251,12.3,37.59716
E10000030,Surrey,2021,20.28257,15.92956,7.2,36.9326
E10000031,Warwickshire,2021,25.99205,22.43362,13.1,36.04597
E10000032,West Sussex,2021,23.1004,19.74802,11.4,36.47241
E10000034,Worcestershire,2021,26.69364,21.0766,13.3,34.4538
E06000001,Hartlepool,2022,33.80489,31.32762,13.0,24.7707
E06000002,Middlesbrough,2022,34.67974,32.70905,15.1,22.15748
E06000003,Redcar and Cleveland,2022,31.17215,26.43987,12.4,21.31859
E06000004,Stockton-on-Tees,2022,34.08819,27.86367,12.0,26.43736
E06000005,Darlington,2022,30.51878,23.41086,10.5,27.01131
E06000006,Halton,2022,34.52867,22.86117,12.1,20.24009
E06000007,Warrington,2022,25.20197,21.63554,9.0,30.17691
E06000008,Blackburn with Darwen,2022,30.97757,30.09855,17.7,22.13285
E06000009,Blackpool,2022,33.20581,31.43108,17.2,23.03905
E06000010,Kingston upon Hull,2022,36.46152,30.05683,17.3,27.5252
E06000011,East Riding of Yorkshire,2022,27.74105,22.64624,9.3,35.73369
E06000012,North East Lincolnshire,2022,29.99957,30.11434,20.0,27.4411
E06000013,North Lincolnshire,2022,35.80057,23.28467,14.0,27.75662
E06000014,York,2022,23.54297,16.32616,7.9,32.5737
E06000015,Derby,2022,34.61231,28.48787,17.7,25.07037
E06000016,Leicester,2022,24.91376,27.81411,11.9,21.43485
E06000017,Rutland,2022,20.21155,13.67816,8.6,42.87359
E06000018,Nottingham,2022,27.96719,21.617,19.5,24.38603
E06000019,Herefordshire,2022,26.11057,20.91299,11.1,39.12041
E06000020,Telford and Wrekin,2022,28.39653,24.02626,15.2,31.6005
E06000021,Stoke-on-Trent,2022,38.66075,29.9512,14.9,22.19744
E06000022,Bath and North East Somerset,2022,20.80555,13.55213,10.5,34.86584
E06000023,Bristol,2022,22.34376,16.03239,13.5,36.41653
E06000024,North Somerset,2022,27.89375,19.02222,9.4,35.54627
E06000025,South Gloucestershire,2022,23.09813,21.56898,11.0,31.81944
E06000026,Plymouth,2022,25.95921,18.38852,13.4,27.86601
E06000027,Torbay,2022,32.56526,24.12021,16.8,34.57527
E06000030,Swindon,2022,30.1373,26.31408,8.6,28.16416
E06000031,Peterborough,2022,26.4639,28.02769,11.1,29.05417
